15 54
3 36
61 -13
45 22
90 32
27 -1
73 47
100 72
53 -10
17 34
27 96
2 89
21 39
84 90
91 64
48 86
100 77
55 28
60 9
-14 25
19 72
22 52
8 78
79 25
68 -8
-4 50
95 46
98 -11
100 55
86 75
82 32
85 27
-12 98
26 18
-5 37
38 64
-14 43
20 51
15 6
14 32
-7 38
71 68
86 7
13 5
37 40
57 47
30 78
39 56
-1 26
59 31
11 83
-14 -2
94 -5
94 -5
53 65
8 3
24 39
26 9
90 45
-14 45
28 4
51 47
-1 90
17 64
-6 69
31 29
43 1
28 24
100 -2
99 -2
18 76
47 -13
34 65
5 100
21 14
78 48
3 74
-15 90
59 84
88 79
29 87
7 77
24 92
81 3
84 71
11 31
95 8
46 69
96 94
37 46
29 50
74 32
74 -14
75 -5
68 40
87 13
1 33
60 97
-7 40
-4 75
57 -1
62 27
47 96
71 35
22 64
1 20
24 6
93 82
81 0
43 62
40 42
88 -4
86 36
-7 76
41 92
63 91
95 28
22 44
35 19
86 -3
74 56
96 45
-1 -9
4 -5
25 42
64 -15
100 73
95 96
48 68
54 95
34 97
92 1
-12 41
26 87
16 90
11 80
-14 94
14 40
47 92
5 18
59 45
21 7
90 -3
56 46
32 56
27 -3
-4 93
72 93
-11 88
74 1
97 -10
-3 31
98 66
10 2
11 32
16 78
94 31
37 76
51 19
26 82
6 45
30 35
31 39
99 -14
48 91
35 51
45 86
79 92
-14 83
92 31
-9 95
7 2
5 -14
8 81
-2 43
64 64
-14 0
35 1
92 39
18 25
17 80
69 75
-11 69
52 55
7 31
67 25
24 20
57 80
30 60
70 67
-13 89
54 53
67 1
41 33
-8 65
90 41
84 84
40 20
43 66
-2 43
3 15
29 46
33 96
77 55
31 -9
63 18
68 83
73 90
79 78
20 15
65 54
78 47
93 78
41 89
73 -13
-6 61
-10 5
70 -6
-1 -13
79 97
-8 -1
44 84
58 3
99 48
97 91
55 76
-15 88
69 37
17 55
31 77
19 76
-1 -12
86 25
93 68
54 -14
-6 80
75 100
34 27
13 89
38 78
-9 62
11 32
97 17
59 -13
19 36
4 43
5 49
98 80
-5 5
13 80
97 7
25 27
56 79
-4 40
56 23
10 79
63 90
96 43
83 88
-9 0
33 81
76 71
75 7
98 62
55 63
42 11
28 73
96 25
64 78
98 87
89 33
38 -8
33 24
38 95
26 99
72 67
97 23
68 82
74 61
65 8
89 98
-12 7
91 59
67 29
-7 3
38 42
30 28
-9 58
31 -15
62 -2
100 17
34 94
97 3
45 10
76 -13
-11 38
60 49
22 -14
88 -12
83 66
-5 -6
54 84
44 87
85 33
58 72
31 76
83 49
67 15
18 31
3 35
25 29
29 59
39 46
-7 84
92 56
69 92
-7 67
69 30
16 17
25 -8
66 -1
40 39
64 91
-12 40
82 7
55 15
50 -6
10 77
0 59
-12 13
42 52
57 17
36 16
44 97
77 37
83 97
11 -14
89 65
41 20
-15 75
-6 38
-11 22
-14 72
81 75
85 29
9 68
16 4
3 88
33 97
-12 12
14 63
19 86
57 80
66 61
12 61
49 82
45 60
21 76
32 70
42 1
12 71
88 3
83 5
86 35
85 10
