1	0400hyd	hydrogen	0	1	1	0	water	2.33	abs	1	1	1	1	1	1	1	39.747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.747
2	0400hyd	hydrogen	0	1	1	0	hexadecane	1.64	abs	1.4345	0	0	38.9337	0	0	0	39.747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.747
3	0400hyd	hydrogen	0	1	1	0	octanol	1.76	abs	1.4295	0.37	0.48	39.0057	0	0	0.2304	39.747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.747
4	0216amm	ammonia	0	1	2	0	water	-4.29	abs	1	1	1	1	1	1	1	44.842	0	0	0	0	0	0	0	0	0	0	17.947	31.036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.789
5	0216amm	ammonia	0	1	2	0	hexadecane	-0.93	abs	1.4345	0	0	38.9337	0	0	0	44.842	0	0	0	0	0	0	0	0	0	0	17.947	31.036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.789
6	0216amm	ammonia	0	1	2	0	benzene	-1.12	abs	1.5011	0	0.14	40.6178	1	0	0.0196	44.842	0	0	0	0	0	0	0	0	0	0	17.947	31.036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.789
7	0216amm	ammonia	0	1	2	0	toluene	-2.38	abs	1.4961	0	0.14	40.2003	0.734449	0	0.0196	44.842	0	0	0	0	0	0	0	0	0	0	17.947	31.036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.789
8	0216amm	ammonia	0	1	2	0	pentanol	-3.13	abs	1.4101	0.37	0.48	36.5013	0	0	0.2304	44.842	0	0	0	0	0	0	0	0	0	0	17.947	31.036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.789
9	0216amm	ammonia	0	1	2	0	4methyl2pentanone	-2.52	abs	1.3962	0	0.51	33.8287	0	0	0.2601	44.842	0	0	0	0	0	0	0	0	0	0	17.947	31.036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.789
10	0216amm	ammonia	0	1	2	0	diethylether	-1.41	abs	1.3526	0	0.41	23.9648	0	0	0.1681	44.842	0	0	0	0	0	0	0	0	0	0	17.947	31.036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.789
11	0216amm	ammonia	0	1	2	0	chloroform	-2.41	abs	1.4459	0.15	0.02	38.3868	0	0.5625	0.0004	44.842	0	0	0	0	0	0	0	0	0	0	17.947	31.036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.789
12	0216amm	ammonia	0	1	2	0	carbontet	-1.06	abs	1.4601	0	0	38.0414	0	0.64	0	44.842	0	0	0	0	0	0	0	0	0	0	17.947	31.036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.789
13	0216amm	ammonia	0	1	2	0	chlorobenzene	-1.22	abs	1.5241	0	0.07	47.4833	0.734449	0.020449	0.0049	44.842	0	0	0	0	0	0	0	0	0	0	17.947	31.036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.789
